DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,DrugName,AssociatedDiseases1_Name,AssociatedDiseases2_Name,AssociatedDiseases3_Name,AssociatedDiseases4_Name,AssociatedDiseases5_Name,AssociatedDiseases6_Name,AssociatedDiseases7_Name,AssociatedDiseases8_Name,AssociatedDiseases9_Name,AssociatedDiseases10_Name,AssociatedDiseases11_Name,AssociatedDiseases12_Name,AssociatedDiseases13_Name,AssociatedDiseases14_Name,AssociatedDiseases15_Name,AssociatedDiseases16_Name,AssociatedDiseases17_Name,AssociatedDiseases18_Name,AssociatedDiseases19_Name,AssociatedDiseases20_Name,AssociatedDiseases21_Name,AssociatedDiseases22_Name
DB00324,1,D278200,,,,,,,,,,,,,,,,,,,,,,DB00324,D278200,,,,,,,,,,,,,,,,,,,,,
DB00325,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00325,D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00327,2,D147530,D608088,,,,,,,,,,,,,,,,,,,,,DB00327,D147530,D608088,,,,,,,,,,,,,,,,,,,,
DB00328,12,D133600,D133690,D140600,D147530,D157300,D165720,D208230,D246400,D263800,D602522,D607459,D607850,,,,,,,,,,,DB00328,D133600,"EXOSTOSES WITH ANETODERMIA AND BRACHYDACTYLY, TYPE E",OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2,D147530,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",D165720,PROGRESSIVE PSEUDORHEUMATOID DYSPLASIA; PPRD,LETTERER-SIWE DISEASE,GITELMAN SYNDROME; GTLMNS,D602522,"SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS; SANDO",OSTEOARTHRITIS SUSCEPTIBILITY 3; OS3,,,,,,,,,,
DB00331,6,D125850,D125851,D125853,D176800,D184700,D600496,,,,,,,,,,,,,,,,,DB00331,D125850,D125851,D125853,D176800,D184700,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3; MODY3",,,,,,,,,,,,,,,,
DB00332,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00332,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE","BERRY ANEURYSM, CIRRHOSIS, PULMONARY EMPHYSEMA, AND CEREBRAL CALCIFICATION","ASTHMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00333,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00333,D147530,,,,,,,,,,,,,,,,,,,,,
DB00334,3,D164230,D181500,D300494,,,,,,,,,,,,,,,,,,,,DB00334,D164230,D181500,D300494,,,,,,,,,,,,,,,,,,,
DB00335,2,D110100,D157700,,,,,,,,,,,,,,,,,,,,,DB00335,D110100,D157700,,,,,,,,,,,,,,,,,,,,
DB00337,2,D233810,D603165,,,,,,,,,,,,,,,,,,,,,DB00337,"GROWTH RETARDATION, SMALL AND PUFFY HANDS AND FEET, AND ECZEMA","DERMATITIS, ATOPIC",,,,,,,,,,,,,,,,,,,,
DB00338,4,D109350,D190310,D304790,D600263,,,,,,,,,,,,,,,,,,,DB00338,D109350,D190310,"IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED; IPEX","HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,
DB00342,1,D147540,,,,,,,,,,,,,,,,,,,,,,DB00342,"INSECT STINGS, HYPERSENSITIVITY TO",,,,,,,,,,,,,,,,,,,,,
DB00343,5,D161900,D179600,D607554,D608583,D608622,,,,,,,,,,,,,,,,,,DB00343,D161900,RAYNAUD DISEASE,"ATRIAL FIBRILLATION, FAMILIAL, 3; ATFB3","ATRIAL FIBRILLATION, FAMILIAL, 1; ATFB1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,
DB00346,3,D147530,D200170,D600082,,,,,,,,,,,,,,,,,,,,DB00346,D147530,ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT,"PROSTATIC HYPERPLASIA, BENIGN; BPH",,,,,,,,,,,,,,,,,,,
DB00350,3,D104130,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00350,D104130,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00351,3,D109100,D114480,D192000,,,,,,,,,,,,,,,,,,,,DB00351,AUTOIMMUNE DISEASE,D114480,D192000,,,,,,,,,,,,,,,,,,,
DB00352,1,D601626,,,,,,,,,,,,,,,,,,,,,,DB00352,D601626,,,,,,,,,,,,,,,,,,,,,
DB00353,1,D157300,,,,,,,,,,,,,,,,,,,,,,DB00353,D157300,,,,,,,,,,,,,,,,,,,,,
DB00354,1,D145590,,,,,,,,,,,,,,,,,,,,,,DB00354,D145590,,,,,,,,,,,,,,,,,,,,,
DB00356,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00356,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,,,,,,,,,,,,,,,,,,,,,
DB00357,1,D268320,,,,,,,,,,,,,,,,,,,,,,DB00357,RODRIGUES BLINDNESS,,,,,,,,,,,,,,,,,,,,,
DB00361,1,D236000,,,,,,,,,,,,,,,,,,,,,,DB00361,"LYMPHOMA, HODGKIN, CLASSIC; CHL",,,,,,,,,,,,,,,,,,,,,
DB00363,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00363,D181500,,,,,,,,,,,,,,,,,,,,,
DB00364,3,D109350,D161900,D190310,,,,,,,,,,,,,,,,,,,,DB00364,GASTROESOPHAGEAL REFLUX; GER,D161900,D190310,,,,,,,,,,,,,,,,,,,
DB00366,2,D145590,D147540,,,,,,,,,,,,,,,,,,,,,DB00366,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA","INSECT STINGS, HYPERSENSITIVITY TO",,,,,,,,,,,,,,,,,,,,
DB00367,3,D131200,D184700,D192000,,,,,,,,,,,,,,,,,,,,DB00367,D131200,POLYCYSTIC OVARY SYNDROME 1; PCOS1,UTERINE ANOMALIES,,,,,,,,,,,,,,,,,,,
DB00368,1,D146500,,,,,,,,,,,,,,,,,,,,,,DB00368,D146500,,,,,,,,,,,,,,,,,,,,,
DB00371,3,D145590,D200170,D601042,,,,,,,,,,,,,,,,,,,,DB00371,D145590,D200170,DYSTONIA 9; DYT9,,,,,,,,,,,,,,,,,,,
DB00373,7,D137750,D137760,D157300,D161900,D300125,D601682,D608622,,,,,,,,,,,,,,,,DB00373,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A","GLAUCOMA, PRIMARY OPEN ANGLE; POAG","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D300125,"GLAUCOMA 1, PRIMARY OPEN ANGLE, C; GLC1C","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,
DB00374,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,,DB00374,D161900,D178600,,,,,,,,,,,,,,,,,,,,
DB00376,1,D168100,,,,,,,,,,,,,,,,,,,,,,DB00376,D168100,,,,,,,,,,,,,,,,,,,,,
DB00379,1,D115000,,,,,,,,,,,,,,,,,,,,,,DB00379,D115000,,,,,,,,,,,,,,,,,,,,,
DB00380,7,D208750,D212112,D212130,D212350,D225740,D226000,D305300,,,,,,,,,,,,,,,,DB00380,D208750,D212112,CARDIOMYOPATHY ASSOCIATED WITH MYOPATHY AND SUDDEN DEATH,D212350,"ENCEPHALOPATHY, AXONAL, WITH NECROTIZING MYOPATHY, CARDIOMYOPATHY, AND CATARACTS",D226000,D305300,,,,,,,,,,,,,,,
DB00381,6,D125310,D145500,D161900,D179600,D608320,D608622,,,,,,,,,,,,,,,,,DB00381,D125310,"HYPERTENSION, ESSENTIAL","RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D179600,D608320,D608622,,,,,,,,,,,,,,,,
DB00382,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,,DB00382,D104300,DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,"ALZHEIMER DISEASE, FAMILIAL EARLY-ONSET, WITH COEXISTING AMYLOID AND PRION PATHOLOGY",,,,,,,,,,,,,,,,,,,
DB00384,5,D203700,D208300,D210050,D215140,D600351,,,,,,,,,,,,,,,,,,DB00384,D203700,"ASCITES, CHYLOUS","BERRY ANEURYSM, CIRRHOSIS, PULMONARY EMPHYSEMA, AND CEREBRAL CALCIFICATION",GREENBERG DYSPLASIA; GRBGD,"ENTEROPATHY, FAMILIAL, WITH VILLOUS EDEMA AND IMMUNOGLOBULIN G2 DEFICIENCY",,,,,,,,,,,,,,,,,
DB00385,1,D109800,,,,,,,,,,,,,,,,,,,,,,DB00385,D109800,,,,,,,,,,,,,,,,,,,,,
DB00387,3,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,,DB00387,D125320,"PARALYSIS AGITANS, JUVENILE, OF HUNT","PARKINSON DISEASE, LATE-ONSET; PD",,,,,,,,,,,,,,,,,,,
DB00388,7,D137750,D137760,D145590,D146500,D147540,D601682,D608088,,,,,,,,,,,,,,,,DB00388,D137750,"GLAUCOMA, PRIMARY OPEN ANGLE; POAG","HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA","MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO; MSA1",D147540,"GLAUCOMA 1, PRIMARY OPEN ANGLE, C; GLC1C","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX",,,,,,,,,,,,,,,
DB00390,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,,DB00390,D607554,D608583,,,,,,,,,,,,,,,,,,,,
DB00393,2,D125310,D601367,,,,,,,,,,,,,,,,,,,,,DB00393,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1",D601367,,,,,,,,,,,,,,,,,,,,
DB00394,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,DB00394,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE",D600807,,,,,,,,,,,,,,,,,,,,
DB00396,1,D217200,,,,,,,,,,,,,,,,,,,,,,DB00396,"CONVULSIVE DISORDER, FAMILIAL, WITH PRENATAL OR EARLY ONSET",,,,,,,,,,,,,,,,,,,,,
DB00397,5,D147540,D264120,D303110,D601665,D608088,,,,,,,,,,,,,,,,,,DB00397,"INSECT STINGS, HYPERSENSITIVITY TO",D264120,CHROMOSOME Xq21 DELETION SYNDROME,D601665,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX",,,,,,,,,,,,,,,,,
DB00398,4,D114550,D144700,D188470,D605839,,,,,,,,,,,,,,,,,,,DB00398,HEPATOCELLULAR CARCINOMA,"RENAL CELL CARCINOMA, NONPAPILLARY; RCC","THYROID CANCER, NONMEDULLARY, 2; NMTC2",MOVED TO 150800,,,,,,,,,,,,,,,,,,
DB00399,7,D102500,D143880,D167320,D254500,D276300,D602080,D605839,,,,,,,,,,,,,,,,DB00399,D102500,D143880,D167320,"MYELOMA, MULTIPLE",MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1,D602080,MOVED TO 150800,,,,,,,,,,,,,,,
DB00401,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,,DB00401,D161900,RAYNAUD DISEASE,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00404,2,D167870,D252320,,,,,,,,,,,,,,,,,,,,,DB00404,D167870,"MOTOR NEUROPATHY, PERIPHERAL, WITH DYSAUTONOMIA",,,,,,,,,,,,,,,,,,,,
DB00407,1,D188050,,,,,,,,,,,,,,,,,,,,,,DB00407,THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1,,,,,,,,,,,,,,,,,,,,,
DB00408,1,D181500,,,,,,,,,,,,,,,,,,,,,,DB00408,D181500,,,,,,,,,,,,,,,,,,,,,
DB00412,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00412,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1; MODY1","MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2; MODY2",D125853,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3; MODY3",,,,,,,,,,,,,,,,,,
DB00413,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,DB00413,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1",DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,"PARALYSIS AGITANS, JUVENILE, OF HUNT",D168600,,,,,,,,,,,,,,,,,,
DB00414,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00414,D125850,D125851,D125853,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3; MODY3",,,,,,,,,,,,,,,,,,
DB00419,1,D230800,,,,,,,,,,,,,,,,,,,,,,DB00419,D230800,,,,,,,,,,,,,,,,,,,,,
DB00421,7,D104130,D161900,D208300,D215140,D600351,D604416,D608622,,,,,,,,,,,,,,,,DB00421,D104130,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","ASCITES, CHYLOUS",GREENBERG DYSPLASIA; GRBGD,"ENTEROPATHY, FAMILIAL, WITH VILLOUS EDEMA AND IMMUNOGLOBULIN G2 DEFICIENCY",D604416,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,
DB00422,1,D143465,,,,,,,,,,,,,,,,,,,,,,DB00422,D143465,,,,,,,,,,,,,,,,,,,,,
DB00424,5,D144110,D190310,D200170,D226150,D260570,,,,,,,,,,,,,,,,,,DB00424,D144110,"TREMOR, NYSTAGMUS, AND DUODENAL ULCER",D200170,D226150,IMMUNODEFICIENCY 108 WITH AUTOINFLAMMATION; IMD108,,,,,,,,,,,,,,,,,
DB00428,1,D236000,,,,,,,,,,,,,,,,,,,,,,DB00428,D236000,,,,,,,,,,,,,,,,,,,,,
DB00433,6,D145590,D182830,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,,DB00433,D145590,D182830,D225740,D225755,D260970,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",,,,,,,,,,,,,,,,
DB00434,9,D113610,D147540,D157300,D181500,D218200,D300125,D312910,D606703,D606798,,,,,,,,,,,,,,DB00434,BRANCHIAL MYOCLONUS WITH SPASTIC PARAPARESIS AND CEREBELLAR ATAXIA,D147540,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",D181500,D218200,D300125,SPASTIC PARAPARESIS AND DEAFNESS,D606703,"BLEPHAROSPASM, BENIGN ESSENTIAL, SUSCEPTIBILITY TO",,,,,,,,,,,,,
DB00436,5,D161900,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,,,,DB00436,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D215140,"NEPHROTIC SYNDROME, TYPE 4; NPHS4","ENTEROPATHY, FAMILIAL, WITH VILLOUS EDEMA AND IMMUNOGLOBULIN G2 DEFICIENCY","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,
DB00437,2,D310468,D602068,,,,,,,,,,,,,,,,,,,,,DB00437,D310468,"LEISHMANIASIS, TEGUMENTARY, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,,
DB00440,3,D166760,D208550,D604416,,,,,,,,,,,,,,,,,,,,DB00440,D166760,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE",D604416,,,,,,,,,,,,,,,,,,,
DB00441,3,D114480,D144700,D605839,,,,,,,,,,,,,,,,,,,,DB00441,BREAST CANCER,D144700,MOVED TO 150800,,,,,,,,,,,,,,,,,,,
DB00443,4,D125600,D133600,D151590,D603165,,,,,,,,,,,,,,,,,,,DB00443,DERMATOSIS PAPULOSA NIGRA,D133600,LICHEN SCLEROSUS ET ATROPHICUS; LSA,D603165,,,,,,,,,,,,,,,,,,
DB00444,6,D109543,D182280,D223350,D236000,D247640,D267730,,,,,,,,,,,,,,,,,DB00444,D109543,D182280,D223350,D236000,"LYMPHOBLASTIC LEUKEMIA, ACUTE, WITH LYMPHOMATOUS FEATURES; LALL",RETICULUM CELL SARCOMA,,,,,,,,,,,,,,,,
DB00445,2,D114480,D276300,,,,,,,,,,,,,,,,,,,,,DB00445,D114480,D276300,,,,,,,,,,,,,,,,,,,,
DB00448,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,,DB00448,D109350,"TREMOR, NYSTAGMUS, AND DUODENAL ULCER","HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00449,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00449,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A","GLAUCOMA, PRIMARY OPEN ANGLE; POAG","RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","GLAUCOMA 1, PRIMARY OPEN ANGLE, C; GLC1C",,,,,,,,,,,,,,,,,,
DB00451,4,D138800,D140300,D255900,D275000,,,,,,,,,,,,,,,,,,,DB00451,"GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS; MNG1",D140300,MYXEDEMA,GRAVES DISEASE; GRD,,,,,,,,,,,,,,,,,,
DB00454,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00454,D147530,,,,,,,,,,,,,,,,,,,,,
DB00457,7,D147530,D157950,D161900,D179600,D200170,D600082,D608622,,,,,,,,,,,,,,,,DB00457,D147530,"PERMANENT MOLARS, SECONDARY RETENTION OF","RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",RAYNAUD DISEASE,D200170,"PROSTATIC HYPERPLASIA, BENIGN; BPH","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,
DB00458,5,D143465,D147530,D167870,D600631,D600808,,,,,,,,,,,,,,,,,,DB00458,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,PANIC DISORDER 1; PAND1,"ENURESIS, NOCTURNAL, 1; ENUR1",D600808,,,,,,,,,,,,,,,,,
DB00461,2,D140600,D147530,,,,,,,,,,,,,,,,,,,,,DB00461,D140600,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,,,,,,,,,,,,,,,,,,,,
DB00464,1,D192200,,,,,,,,,,,,,,,,,,,,,,DB00464,D192200,,,,,,,,,,,,,,,,,,,,,
DB00465,2,D147530,D308205,,,,,,,,,,,,,,,,,,,,,DB00465,D147530,D308205,,,,,,,,,,,,,,,,,,,,
DB00468,1,D200170,,,,,,,,,,,,,,,,,,,,,,DB00468,ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT,,,,,,,,,,,,,,,,,,,,,
DB00470,1,D109100,,,,,,,,,,,,,,,,,,,,,,DB00470,D109100,,,,,,,,,,,,,,,,,,,,,
DB00471,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00471,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE",D210050,"ASTHMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00472,6,D131300,D164230,D167870,D181500,D252320,D607499,,,,,,,,,,,,,,,,,DB00472,CAMURATI-ENGELMANN DISEASE; CAEND,D164230,PANIC DISORDER 1; PAND1,SCHIZOPHRENIA; SCZD,"MOTOR NEUROPATHY, PERIPHERAL, WITH DYSAUTONOMIA",D607499,,,,,,,,,,,,,,,,
DB00475,2,D103780,D226150,,,,,,,,,,,,,,,,,,,,,DB00475,ALCOHOL DEPENDENCE,D226150,,,,,,,,,,,,,,,,,,,,
DB00476,2,D147530,D165199,,,,,,,,,,,,,,,,,,,,,DB00476,D147530,"OPTIC ATROPHY, HEARING LOSS, AND PERIPHERAL NEUROPATHY, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,
DB00477,2,D145590,D181500,,,,,,,,,,,,,,,,,,,,,DB00477,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA",D181500,,,,,,,,,,,,,,,,,,,,
DB00480,1,D254500,,,,,,,,,,,,,,,,,,,,,,DB00480,D254500,,,,,,,,,,,,,,,,,,,,,
DB00481,3,D102500,D114480,D166710,,,,,,,,,,,,,,,,,,,,DB00481,HAJDU-CHENEY SYNDROME; HJCYS,BREAST CANCER,OSTEOPOROSIS,,,,,,,,,,,,,,,,,,,
DB00482,10,D135550,D140600,D147530,D165720,D175100,D175505,D208230,D246470,D607459,D607850,,,,,,,,,,,,,DB00482,D135550,OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2,D147530,D165720,D175100,MOVED TO 619182,PROGRESSIVE PSEUDORHEUMATOID DYSPLASIA; PPRD,"LEUKEMIA, ACUTE MYELOCYTIC, WITH POLYPOSIS COLI AND COLON CANCER","SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS; SANDO",OSTEOARTHRITIS SUSCEPTIBILITY 3; OS3,,,,,,,,,,,,
DB00484,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00484,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A",D137760,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D601682,,,,,,,,,,,,,,,,,,
DB00489,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,,DB00489,D607554,D608583,,,,,,,,,,,,,,,,,,,,
DB00490,6,D104130,D156190,D165150,D167870,D259050,D300232,,,,,,,,,,,,,,,,,DB00490,D104130,D156190,D165150,PANIC DISORDER 1; PAND1,D259050,D300232,,,,,,,,,,,,,,,,
DB00491,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00491,D125850,D125851,TYPE 2 DIABETES MELLITUS; T2D,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3; MODY3",,,,,,,,,,,,,,,,,,
DB00492,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00492,D146255,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D608622,,,,,,,,,,,,,,,,,,,
DB00494,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,,DB00494,"PARALYSIS AGITANS, JUVENILE, OF HUNT","PARKINSON DISEASE, LATE-ONSET; PD",,,,,,,,,,,,,,,,,,,,
DB00497,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00497,D147530,,,,,,,,,,,,,,,,,,,,,
DB00499,1,D176807,,,,,,,,,,,,,,,,,,,,,,DB00499,PROSTATE CANCER,,,,,,,,,,,,,,,,,,,,,
DB00500,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,DB00500,OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2,D165720,D208230,"SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS; SANDO",OSTEOARTHRITIS SUSCEPTIBILITY 3; OS3,,,,,,,,,,,,,,,,,
DB00501,4,D109350,D190310,D264120,D304790,,,,,,,,,,,,,,,,,,,DB00501,GASTROESOPHAGEAL REFLUX; GER,"TREMOR, NYSTAGMUS, AND DUODENAL ULCER",PROLACTIN DEFICIENCY WITH OBESITY AND ENLARGED TESTES,"IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED; IPEX",,,,,,,,,,,,,,,,,,
DB00502,4,D127750,D137580,D181500,D182830,,,,,,,,,,,,,,,,,,,DB00502,D127750,GILLES DE LA TOURETTE SYNDROME; GTS,D181500,"SPASTIC PARAPLEGIA, OPTIC ATROPHY, AND DEMENTIA",,,,,,,,,,,,,,,,,,
DB00508,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,,DB00508,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA",D147530,,,,,,,,,,,,,,,,,,,,
DB00510,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,,DB00510,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",D300125,,,,,,,,,,,,,,,,,,,,
DB00514,2,D145590,D608088,,,,,,,,,,,,,,,,,,,,,DB00514,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX",,,,,,,,,,,,,,,,,,,,
DB00515,9,D109800,D133239,D182280,D236000,D254500,D256700,D259500,D273300,D276300,,,,,,,,,,,,,,DB00515,BLADDER CANCER,ESOPHAGEAL CANCER,SMALL CELL CANCER OF THE LUNG,D236000,D254500,D256700,OSTEOGENIC SARCOMA,TESTICULAR GERM CELL TUMOR; TGCT,MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1,,,,,,,,,,,,,
DB00519,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00519,D146255,D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00521,3,D137750,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00521,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A",D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00523,1,D148000,,,,,,,,,,,,,,,,,,,,,,DB00523,"KAPOSI SARCOMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,,,
DB00524,3,D161900,D215140,D608622,,,,,,,,,,,,,,,,,,,,DB00524,D161900,GREENBERG DYSPLASIA; GRBGD,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00527,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00527,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,,,,,,,,,,,,,,,,,,,,,
DB00530,1,D144700,,,,,,,,,,,,,,,,,,,,,,DB00530,D144700,,,,,,,,,,,,,,,,,,,,,
DB00532,1,D104130,,,,,,,,,,,,,,,,,,,,,,DB00532,"ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY",,,,,,,,,,,,,,,,,,,,,
DB00533,1,D157300,,,,,,,,,,,,,,,,,,,,,,DB00533,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",,,,,,,,,,,,,,,,,,,,,
DB00535,2,D166760,D208550,,,,,,,,,,,,,,,,,,,,,DB00535,"OTITIS MEDIA, SUSCEPTIBILITY TO; OMS",D208550,,,,,,,,,,,,,,,,,,,,
